cve_mun_full,Municipio,NOM_MUN_CLEAN,temp_media_anual,ZON_TER,marginacion,electricidad_pct,computadoras_pct,internet_pct,infra_adaptada_pct,material_adaptado_pct,agua_potable_pct,lavabo_manos_pct,indice_infra_sep,escuelas_infied,luz_con_pct_infied,agua_red_pct_infied,bebederos_con_pct_infied,techumbre_con_pct_infied,ambito_urbano_pct_infied,ambito_rural_pct_infied,ambito_predominante_infied,control_predominante_infied
21010,CHIAUTLA,Ajalpan,19.0,Semicálido,Alto,97.5,60.2,20.3,9.3,9.3,49.2,78.8,0.5,,,,,,,,,
21011,CHIGNAHUAPAN,Albino Zertuche,21.0,Semicálido,Medio,50.0,0.0,0.0,0.0,0.0,50.0,75.0,0.3,,,,,,,,,
21012,CHIGNAUTLA,Aljojuca,15.0,Templado,Medio,100.0,28.6,28.6,28.6,14.3,100.0,85.7,0.6,,,,,,,,,
21013,CUAUTLANCINGO,Altepexi,23.0,Cálido,Bajo,88.9,55.6,55.6,22.2,11.1,88.9,100.0,0.6,,,,,,,,,
21014,CUETZALAN DEL PROGRESO,Amixtlán,17.0,Templado,Alto,90.9,45.5,0.0,0.0,0.0,90.9,90.9,0.5,,,,,,,,,
21015,EPATLÁN,Amozoc,15.0,Templado,Muy bajo,89.5,59.6,54.4,36.8,22.8,80.7,93.0,0.6,1.0,100.0,100.0,0.0,100.0,100.0,0.0,URBANO,PÚBLICO
21016,GUADALUPE VICTORIA,Aquixtla,15.0,Templado,Medio,96.6,58.6,13.8,6.9,6.9,96.6,86.2,0.5,,,,,,,,,
21017,HUAUCHINANGO,Atempan,11.0,Semifrio,Medio,96.4,89.3,35.7,17.9,14.3,96.4,89.3,0.6,,,,,,,,,
21018,HUEHUETLA,Atexcal,21.0,Semicálido,Medio,92.9,50.0,7.1,14.3,14.3,92.9,100.0,0.5,,,,,,,,,
21019,HUEJOTZINGO,Atlixco,19.0,Semicálido,Muy bajo,97.0,69.7,47.7,29.5,20.5,85.6,97.0,0.6,1.0,100.0,100.0,100.0,100.0,100.0,0.0,URBANO,PÚBLICO
21020,IZÚCAR DE MATAMOROS,Atoyatempan,17.0,Templado,Bajo,100.0,66.7,0.0,33.3,0.0,100.0,66.7,0.5,,,,,,,,,
21021,LIBRES,Atzala,23.0,Cálido,Medio,100.0,50.0,0.0,50.0,50.0,100.0,100.0,0.6,,,,,,,,,
21022,MIXTLA,Atzitzihuacán,19.0,Semicálido,Medio,100.0,68.4,26.3,26.3,21.1,84.2,100.0,0.6,,,,,,,,,
21023,NOPALUCAN,Atzitzintla,11.0,Semifrio,Alto,90.5,42.9,9.5,23.8,38.1,66.7,90.5,0.5,,,,,,,,,
21024,ORIENTAL,Axutla,25.0,Cálido,Medio,80.0,20.0,0.0,0.0,0.0,80.0,100.0,0.4,1.0,100.0,100.0,0.0,100.0,100.0,0.0,URBANO,PÚBLICO
21025,PANTEPEC,Ayotoxco de Guerrero,21.0,Semicálido,Alto,85.7,57.1,4.8,19.0,19.0,81.0,90.5,0.5,,,,,,,,,
21026,PUEBLA,Calpan,15.0,Templado,Medio,100.0,75.0,66.7,33.3,25.0,100.0,100.0,0.7,,,,,,,,,
21027,RAFAEL LARA GRAJALES,Caltepec,15.0,Templado,Alto,95.2,57.1,19.0,4.8,14.3,81.0,81.0,0.5,,,,,,,,,
21028,SAN ANDRÉS CHOLULA,Camocuautla,17.0,Templado,Alto,60.0,50.0,10.0,0.0,40.0,50.0,70.0,0.4,,,,,,,,,
21029,SAN JOSÉ MIAHUATLÁN,Caxhuacan,21.0,Semicálido,Alto,75.0,50.0,25.0,0.0,0.0,75.0,100.0,0.5,,,,,,,,,
21030,SAN MARTÍN TEXMELUCAN,Coatepec,19.0,Semicálido,Alto,100.0,50.0,50.0,0.0,0.0,100.0,100.0,0.6,,,,,,,,,
21031,SAN PEDRO CHOLULA,Coatzingo,23.0,Cálido,Alto,100.0,0.0,0.0,0.0,0.0,100.0,100.0,0.4,,,,,,,,,
21032,SANTO TOMÁS HUEYOTLIPAN,Cohetzala,21.0,Semicálido,Medio,71.4,57.1,0.0,0.0,0.0,57.1,85.7,0.4,,,,,,,,,
