cve_mun_full,NOM_MUN_CLEAN,temp_media_anual,ZON_TER
11030,San Felipe,15.0,Templado
11041,Uriangato,17.0,Templado
11003,San Miguel de Allende,15.0,Templado
11004,Apaseo el Alto,15.0,Templado
11005,Apaseo el Grande,17.0,Templado
11007,Celaya,15.0,Templado
11008,Manuel Doblado,19.0,Semicálido
11001,Abasolo,17.0,Templado
11023,Pénjamo,17.0,Templado
11037,Silao de la Victoria,19.0,Semicálido
11042,Valle de Santiago,17.0,Templado
11044,Villagrán,19.0,Semicálido
11046,Yuriria,15.0,Templado
11010,Coroneo,15.0,Templado
12067,Tlapehuala,25.0,Cálido
12043,Metlatónoc,27.0,Muy cálido
12081,Iliatenco,21.0,Semicálido
12066,Tlapa de Comonfort,17.0,Templado
12078,Cochoapa el Grande,25.0,Cálido
12079,José Joaquín de Herrera,25.0,Cálido
12076,Acatepec,27.0,Muy cálido
12077,Marquelia,27.0,Muy cálido
12074,Zitlala,19.0,Semicálido
12075,Eduardo Neri,19.0,Semicálido
12071,Xochistlahuaca,27.0,Muy cálido
12072,Zapotitlán Tablas,23.0,Cálido
12069,Xalpatláhuac,21.0,Semicálido
12070,Xochihuehuetlán,21.0,Semicálido
12057,Técpan de Galeana,27.0,Muy cálido
12058,Teloloapan,21.0,Semicálido
12055,Taxco de Alarcón,25.0,Cálido
12056,Tecoanapa,27.0,Muy cálido
12048,Petatlán,27.0,Muy cálido
12053,San Marcos,27.0,Muy cálido
12054,San Miguel Totolapan,25.0,Cálido
12052,San Luis Acatlán,27.0,Muy cálido
12051,Quechultenango,27.0,Muy cálido
12049,Pilcaya,23.0,Cálido
12050,Pungarabato,25.0,Cálido
12047,Pedro Ascencio Alquisiras,23.0,Cálido
12045,Olinalá,19.0,Semicálido
12046,Ometepec,27.0,Muy cálido
12042,Mártir de Cuilapan,19.0,Semicálido
12044,Mochitlán,27.0,Muy cálido
12040,Leonardo Bravo,23.0,Cálido
12041,Malinaltepec,21.0,Semicálido
12038,Zihuatanejo de Azueta,27.0,Muy cálido
12039,Juan R. Escudero,27.0,Muy cálido
12036,Igualapa,27.0,Muy cálido
12037,Ixcateopan de Cuauhtémoc,21.0,Semicálido
12002,Ahuacuotzingo,19.0,Semicálido
12003,Ajuchitlán del Progreso,17.0,Templado
12034,Huitzuco de los Figueroa,25.0,Cálido
12035,Iguala de la Independencia,27.0,Muy cálido
12032,General Heliodoro Castillo,19.0,Semicálido
