cve_mun_full,Municipio,Escuelas,Alumnos,Alumnos Mujeres,Alumnos Hombres,Docentes¹
16040,ZINAPÉCUARO,2,220,127,93,8
16041,ZIRACUARETIRO,1,21,3,18,1
16042,ZITÁCUARO,16,3641,2341,1300,69
17001,AYALA,1,13161,11216,1945,76
17002,CUAUTLA,12,2907,1952,955,91
17003,CUERNAVACA,13,13401,12200,1201,138
17004,EMILIANO ZAPATA,1,3349,2978,371,62
17005,JIUTEPEC,4,2746,1420,1326,59
17006,JOJUTLA,3,121,91,30,13
17007,PUENTE DE IXTLA,1,13049,11153,1896,68
17008,TEMIXCO,3,123,105,18,9
17009,TLAQUILTENANGO,2,833,469,364,40
17010,YAUTEPEC,1,109,64,45,3
18001,ACAPONETA,1,2103,1745,358,39
18002,AHUACATLÁN,1,2544,2243,301,23
18003,BAHÍA DE BANDERAS,2,2296,1499,797,43
18004,COMPOSTELA,1,2587,2304,283,28
18005,IXTLÁN DEL RÍO,2,1214,673,541,17
18006,ROSAMORADA,1,2214,1842,372,20
18007,SAN BLAS,1,1636,1229,407,46
18008,SANTA MARÍA DEL ORO,1,1660,1360,300,26
18009,SANTIAGO IXCUINTLA,2,2832,2467,365,19
18010,TEPIC,29,14294,9452,4842,171
18011,TUXPAN,1,2,1,1,1
18012,XALISCO,1,2224,1723,501,36
19001,ALLENDE,2,638,152,486,12
19002,APODACA,4,10781,3594,7187,120
19003,CADEREYTA JIMÉNEZ,11,3606,970,2636,36
19004,CIÉNEGA DE FLORES,3,5945,485,5460,35
19005,GARCÍA,2,3284,1301,1983,62
19006,GENERAL ESCOBEDO,5,7862,1443,6419,44
19007,GUADALUPE,14,17514,2284,15230,126
19008,JUÁREZ,1,107,107,0,8
19009,LINARES,1,609,216,393,2
19010,MONTEMORELOS,3,2305,1713,592,11
19011,MONTERREY,44,23116,7734,15382,559
19012,SABINAS HIDALGO,2,38,36,2,3
19013,SALINAS VICTORIA,1,44,0,44,2
19014,SAN NICOLÁS DE LOS GARZA,12,2928,1125,1803,65
19015,SAN PEDRO GARZA GARCÍA,1,1701,623,1078,39
19016,SANTA CATARINA,7,5835,498,5337,56
20001,ACATLÁN DE PÉREZ FIGUEROA,1,3416,3235,181,34
20002,ASUNCIÓN IXTALTEPEC,1,83,66,17,4
20003,ASUNCIÓN NOCHIXTLÁN,2,2849,2270,579,39
20004,CIUDAD IXTEPEC,1,4746,4298,448,35
20005,CONSTANCIA DEL ROSARIO,1,117,90,27,5
20006,CUILÁPAM DE GUERRERO,1,84,59,25,5
20007,HEROICA CIUDAD DE HUAJUAPAN DE LEÓN,14,2659,1827,832,71
20008,HEROICA CIUDAD DE JUCHITÁN DE ZARAGOZA,4,472,373,99,13
20009,HEROICA CIUDAD DE TLAXIACO,4,3780,2891,889,41
20010,HUAUTLA DE JIMÉNEZ,2,1009,731,278,17
20011,LOMA BONITA,4,833,669,164,28
20012,MAGDALENA APASCO,1,3402,2627,775,40
20013,MIAHUATLÁN DE PORFIRIO DÍAZ,2,3403,2534,869,43
20014,OAXACA DE JUÁREZ,29,6385,4934,1451,424
20015,SALINA CRUZ,2,1812,1000,812,20
20016,SAN ANTONIO DE LA CAL,1,1778,1183,595,24
20017,SAN FRANCISCO IXHUATÁN,1,110,53,57,3
20018,SAN FRANCISCO TELIXTLAHUACA,1,200,130,70,6
20019,SAN JACINTO AMILPAS,1,6,4,2,4
20020,SAN JUAN BAUTISTA CUICATLÁN,1,83,58,25,3
20021,SAN JUAN BAUTISTA TUXTEPEC,8,4800,3996,804,71
20022,SAN LORENZO CACAOTEPEC,1,172,145,27,7
20023,SAN MARTÍN TILCAJETE,1,1543,1413,130,15
20024,SAN PEDRO MIXTEPEC,2,12,12,0,2
20025,SAN PEDRO POCHUTLA,4,4650,3972,678,38
20026,SANTA CRUZ AMILPAS,1,88,76,12,4
20027,SANTA CRUZ XOXOCOTLÁN,3,247,181,66,15
20028,SANTA LUCÍA DEL CAMINO,4,1693,1527,166,36
20029,SANTA MARÍA ATZOMPA,1,104,74,30,5
20030,SANTA MARÍA DEL TULE,6,345,141,204,19
20031,SANTA MARÍA HUATULCO,7,3119,1786,1333,55
20032,SANTA MARÍA PETAPA,2,744,536,208,22
20033,SANTIAGO COMALTEPEC,1,97,68,29,4
20034,SANTIAGO JUXTLAHUACA,1,7,5,2,2
20035,SANTIAGO MATATLÁN,1,3250,2755,495,33
20036,SANTIAGO PINOTEPA NACIONAL,1,3247,2897,350,23
20037,SANTIAGO SUCHILQUITONGO,1,162,115,47,6
